Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
127,Drake ,Passionfruit,622,51.0,1,(x13),2811262,249576463
128,Steve Lacy ,Dark Red,513,0.0,11,0,649193,249198471
129,Juice WRLD ,Armed And Dangerous,756,10.0,9,0,1170042,248991383
130,Camila Cabello ,Havana,484,99.0,2,(x6),1184798,247086289
131,Morgan Wallen ,Wasted On You,687,10.0,1,(x1),1232815,246675467
132,Drake ,Laugh Now Cry Later,449,89.0,2,(x20),2600470,246389835
133,Bruno Mars ,That's What I Like,517,78.0,3,(x3),1236698,245642565
134,Kendrick Lamar ,DNA.,451,69.0,2,(x15),3633524,242841173
135,The Weeknd ,Save Your Tears,692,49.0,2,(x4),1465508,242055670
136,Polo G ,Martin & Gina,702,0.0,21,0,553876,241128929
137,The Weeknd ,Die For You,682,1.0,10,0,820834,240869086
138,Eminem ,Godzilla,665,28.0,2,(x5),2573682,240271807
139,Big Sean ,Bounce Back,531,79.0,3,(x7),1388544,239157563
140,Steve Lacy ,Bad Habit,183,136.0,1,(x66),1691327,239087671
141,Jack Harlow ,WHATS POPPIN,519,89.0,2,(x12),1248272,238356467
142,XXXTENTACION ,Everybody Dies In Their Nightmares,772,3.0,6,0,2023396,238214306
143,Desiigner ,Panda,518,109.0,1,(x6),1652864,237739871
144,Shawn Mendes ,Señorita,400,77.0,1,(x26),1948638,236868842
145,Fleetwood Mac ,Dreams  2004 Remaster,781,17.0,6,0,1032229,236167945
146,Cardi B ,Bodak Yellow,489,79.0,2,(x6),1383846,235788390
147,Bobby Helms ,Jingle Bell Rock,335,98.0,1,(x1),4516839,235335220
148,Drake ,Jumpman,584,134.0,2,(x2),929883,235129660
149,Trevor Daniel ,Falling,455,76.0,4,0,1101319,234818302
150,Bad Bunny ,DÁKITI,596,42.0,1,(x6),1499819,234636216
151,Rihanna ,Needed Me,494,154.0,2,(x3),1018495,233794067
152,5 Seconds of Summer,Youngblood,608,0.0,12,0,944436,233302902
153,The Killers ,Mr. Brightside,877,0.0,35,0,407790,232977345
154,Baby Keem ,family ties,487,29.0,3,(x1),1422177,232461442
155,Doja Cat ,Woman,489,26.0,7,0,864796,232370353
156,Arctic Monkeys ,505,692,0.0,13,0,510329,231800625
157,Lil Nas X ,Old Town Road  Remix,317,95.0,1,(x30),3113535,229868299
158,DJ Khaled ,I'm the One,332,112.0,2,(x29),2427536,227464533
159,Drake ,Hotline Bling,555,150.0,1,(x28),1506243,226915487
160,A Boogie Wit da Hoodie ,Drowning,591,0.0,18,0,674840,225834058
161,XXXTENTACION ,changes,560,7.0,4,0,2449891,225063813
162,Machine Gun Kelly ,my ex's best friend,596,3.0,9,0,891324,223702831
163,Bazzi ,Mine,510,51.0,3,(x4),1336329,223577524
164,Zedd ,The Middle,561,45.0,5,0,1159767,223370198
165,Justin Bieber ,Sorry,466,131.0,1,(x53),1783498,222779216
166,Conan Gray ,Heather,647,13.0,8,0,888848,222474626
167,Post Malone ,Goodbyes (Feat. Young Thug),329,91.0,1,(x7),2323437,220243023
168,XXXTENTACION ,Look At Me!,668,0.0,20,0,1035184,218130170
169,Bad Bunny ,Me Porto Bonito,237,154.0,2,(x27),1947674,217545422
170,J. Cole ,Wet Dreamz,1130,0.0,12,0,397175,217277232
171,Andy Williams ,It's the Most Wonderful Time of the Year,342,72.0,3,(x2),3837208,214480695
172,Jack Harlow ,WHATS POPPIN,444,77.0,6,0,1030175,212620780
173,Lewis Capaldi ,Before You Go,672,0.0,39,0,558202,211623667
174,Juice WRLD ,Lean Wit Me,671,1.0,8,0,992697,209772076
175,Tame Impala ,The Less I Know The Better,893,0.0,103,0,323134,209554986
176,G-Eazy, Me Myself & I ,513,148.0,2,(x12),997340,208480098
177,Bad Bunny ,Tití Me Preguntó,237,151.0,3,(x11),1885979,207857104
178,Twenty One Pilots ,Ride,708,65.0,4,0,824424,207848346
179,Kendrick Lamar ,All The Stars,404,78.0,2,(x10),1794893,207519025
180,Twenty One Pilots ,Stressed Out,706,90.0,3,(x2),835612,207439306
181,Billie Eilish ,Happier Than Ever,459,30.0,3,(x12),1688659,207031225
182,Aminé ,Caroline,537,77.0,6,0,861158,206635412
183,6ix9ine,FEFE,271,66.0,2,(x20),2188635,206222122
184,Drake ,Too Good,359,150.0,2,(x19),1092508,205088227
185, Tyler The Creator, EARFQUAKE,526,34.0,1,(x7),2210014,204484344
186,Khalid ,Love Lies,445,14.0,8,0,1088271,204075140
187,Justin Bieber ,Peaches,312,58.0,1,(x10),2181089,203494777
188,Kendrick Lamar ,Money Trees,726,0.0,38,0,481011,203375167
189,Young Thug ,The London,401,49.0,1,(x3),2397579,203093189
190,Future ,Low Life,604,0.0,11,0,670545,202769617
191,Panic! At The Disco ,High Hopes,535,0.0,12,0,862030,201888489
192,SAINt JHN ,Roses  Imanbek Remix,431,47.0,5,0,1009144,201135462
193,Powfu ,death bed,478,7.0,9,0,797933,200371352
194,Rae Sremmurd ,Black Beatles,384,82.0,1,(x21),2318636,200178133
195,Rihanna ,Work,408,91.0,1,(x62),1843176,199973584
196,Billie Eilish ,everything i wanted,435,42.0,1,(x4),2128318,199922212
197,Jonas Brothers ,Sucker,414,30.0,1,(x11),3105964,199695180
198,Rich The Kid ,Plug Walk,417,29.0,6,0,1341514,198858962
199,Justin Bieber ,Love Yourself,458,138.0,1,(x24),1333001,198773307
200,Migos ,Slippery,477,0.0,17,0,701264,197966789
201,21 Savage,a lot,412,24.0,2,(x1),1525801,197950103
202,Flipp Dinero ,Leave Me Alone,418,12.0,10,0,997477,197450612
203,Dan + Shay ,Tequila,723,0.0,48,0,483056,196958667
204,Bryson Tiller ,Exchange,837,0.0,22,0,452260,196861471
205,Twenty One Pilots ,Heathens,410,100.0,3,(x34),1168637,195918435
206,Doja Cat ,Streets,477,57.0,3,(x12),1024708,195884808
207,Wham! ,Last Christmas,315,56.0,4,0,3525042,195381527
208,Jack Harlow ,First Class,231,77.0,1,(x11),5962326,195314542
209,Fetty Wap ,Trap Queen,622,159.0,1,(x31),844118,194792972
210,The Weeknd ,Can't Feel My Face,543,142.0,1,(x52),1053578,194406860
211,Bruno Mars ,Leave The Door Open,400,52.0,2,(x3),1765144,193296752
212,Kodak Black ,Roll In Peace,518,0.0,21,0,985417,192647458
213,The Neighbourhood ,Daddy Issues,705,0.0,50,0,359758,192551331
214,Morgan Wallen ,More Than My Hometown,697,0.0,18,0,698510,191448082
215,Gucci Mane ,Wake Up in the Sky,340,14.0,6,0,1070430,189926403
216,Marshmello ,Silence,468,16.0,7,0,958742,189144242
217,Michael Bublé ,It's Beginning to Look a Lot Like Christmas,357,38.0,3,(x1),2978474,187463596
218,Maroon 5,Girls Like You,383,20.0,6,0,1263800,186579571
219,Justin Bieber ,What Do You Mean?,413,153.0,1,(x24),1358577,185795808
220,The Weeknd ,Call Out My Name,471,21.0,1,(x6),3490888,185191010
221,BØRNS ,Electric Love,737,0.0,39,0,460526,185017224
222,NF ,Let You Down,480,4.0,9,0,829153,184436690
223,Fifth Harmony ,Work from Home,420,116.0,3,(x21),1004803,184122003
224,Drake ,Controlla,400,93.0,4,0,1020036,183609837
225,Morgan Wallen ,Chasin' You,687,0.0,47,0,412670,183121183
226,Ariana Grande ,Santa Tell Me,348,26.0,5,0,2847060,182490361
227,Ed Sheeran ,Thinking out Loud,792,118.0,1,(x3),665278,182153495
228,Pop Smoke ,What You Know Bout Love,422,44.0,5,0,945575,182024316
229,Lil Mosey ,Noticed,531,0.0,17,0,836165,181647697
230,Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,442,91.0,2,(x1),912432,181197216
231,Ed Sheeran ,Perfect,488,0.0,11,0,931316,180975541
232,Ariana Grande ,no tears left to cry,384,5.0,6,0,1783330,180563889
233,Chance the Rapper ,No Problem,568,0.0,13,0,695093,180053419
234,Mustard ,Pure Water,396,0.0,11,0,905428,180042907
235,Dan + Shay ,Speechless,662,0.0,67,0,373102,179301739
236,The Chainsmokers ,Roses,520,94.0,5,0,772979,178699372
237,Khalid ,Talk,341,42.0,5,0,1284719,178662883
238,G,Eazy  No Limit,373,79.0,2,(x8),1151926,178639729
239,21 Savage,X,555,0.0,14,0,597896,178576237
240,Surf Curse ,Freaks,556,0.0,29,0,466842,178535641
241,Demi Lovato ,Sorry Not Sorry,379,35.0,6,0,1009557,177157747
242,Billie Eilish ,bury a friend,364,16.0,3,(x2),2139874,176834584
243,Kodak Black ,Tunnel Vision,396,38.0,5,0,1173162,176688536
244,Surfaces ,Sunday Best,412,0.0,13,0,751886,176430872
245,Sleepy Hallow ,2055,454,12.0,7,0,826350,176244822
246,Dan + Shay , 10000 Hours,465,21.0,2,(x3),2073482,175930281
247,Migos ,Stir Fry,336,60.0,2,(x12),1499177,175630677
248,A Boogie Wit da Hoodie ,Look Back At It,366,22.0,8,0,1146596,175483878
249,Justin Bieber ,Intentions,328,42.0,2,(x1),1901883,175135180
250,Post Malone ,Go Flex,673,0.0,19,0,687250,174710816
251,The Walters ,I Love You So,431,38.0,7,0,683985,174547021
252,Ed Sheeran ,Bad Habits,350,49.0,7,0,1259918,174488164
253,A$AP Ferg ,Plain Jane,408,22.0,6,0,929255,174255086
254,Famous Dex ,PICK IT UP,421,0.0,13,0,800864,173990426
255,Major Lazer ,Lean On,588,142.0,2,(x7),681007,173817845
256,Elton John ,Cold Heart  PNAU Remix,408,1.0,9,0,683288,173542648
257,Dua Lipa ,New Rules,399,0.0,11,0,783946,173328947
258,Ed Sheeran ,Shivers,399,6.0,6,0,980767,173225595
259,Mac Miller ,The Spins,612,0.0,54,0,369869,173209349
260,Adele ,Easy On Me,246,73.0,1,(x29),5435431,173180228
261,Ariana Grande ,positions,333,69.0,1,(x25),2805107,172797966
262,Tate McRae ,you broke me first,503,0.0,16,0,664700,172703722
263,Kodak Black ,Super Gremlin,346,117.0,2,(x9),1054999,171909115
264,Lil Nas X ,Panini,249,67.0,1,(x2),2147076,171512571
265,Drake ,Way 2 Sexy,280,68.0,1,(x12),4962771,170202629
266,Roddy Ricch ,High Fashion,354,27.0,4,0,1118927,169149991
267,Ed Sheeran ,I Don't Care,323,54.0,1,(x7),3107778,168839409
268,Billie Eilish ,ocean eyes,623,0.0,61,0,410592,168543006
269,Tyler The Creator ,See You Again,565,0.0,24,0,499844,168256802
270,Migos ,Walk It Talk It,358,14.0,3,(x1),1584838,168214275
271,Lady Gaga ,Shallow,403,7.0,6,0,1310071,167883840
272,Drake ,Jimmy Cooks,195,107.0,1,(x1),3642078,166499191
273,Doja Cat ,Say So,308,51.0,2,(x1),1262821,165898476
274,Fetty Wap ,679,501,111.0,2,(x14),850028,165220739
275,Kali Uchis ,telepatía,395,44.0,3,(x8),1064644,164803198
276,Calboy ,Envy Me,440,0.0,22,0,669228,164149940
277,Justin Bieber ,Ghost,399,4.0,9,0,895735,163964781
278,Adele ,Hello,404,89.0,1,(x19),2758752,163937424
279,Joji ,Glimpse of Us,201,83.0,1,(x16),2474076,163315058
280,Burl Ives ,A Holly Jolly Christmas  Single Version,278,31.0,5,0,4242454,163198351
281,Julia Michaels ,Issues,414,0.0,11,0,959567,163082925
282,Kate Bush ,Running Up That Hill (A Deal With God),182,98.0,1,(x30),2430143,163034803
283,Migos ,TShirt,393,23.0,6,0,1068559,162318539
284,Giveon ,HEARTBREAK ANNIVERSARY,371,30.0,8,0,950623,162181516
285,ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker),378,72.0,3,(x14),1195770,161895465
286,Drake ,Toosie Slide,239,79.0,1,(x20),2670968,161667752
287,Kanye West ,Father Stretch My Hands Pt. 1,607,12.0,4,0,855048,161479699
288,Zedd ,Stay,317,4.0,9,0,977390,161032066
289,Major Lazer ,Cold Water,274,99.0,1,(x10),1389715,160700352
290,Lil Nas X ,THATS WHAT I WANT,358,23.0,2,(x1),1896424,160369392
291,Future ,WAIT FOR U,243,24.0,2,(x1),1885004,160359546
292,Lil Uzi Vert ,Sanguine Paradise,382,30.0,6,0,1205774,160244733
293,Maroon 5,Memories,372,17.0,6,0,1118361,159686092
294,Lil Pump ,Gucci Gang,242,90.0,2,(x51),1574100,159368635
295,Lil Uzi Vert ,Money Longer,648,0.0,33,0,440383,159142673
296,DJ Snake ,Let Me Love You,300,107.0,3,(x16),1147152,158366154
297,Hailee Steinfeld ,Starving,423,36.0,9,0,765280,158320524
298,JP Saxe ,If The World Was Ending,520,0.0,43,0,444524,156928093
299,The Chainsmokers ,Something Just Like This,364,29.0,2,(x2),1478265,156839599
300,Olivia Rodrigo ,favorite crime,384,32.0,4,0,1886343,156762362
301,Chris Stapleton ,Tennessee Whiskey,747,0.0,34,0,440951,156707370
302,Gucci Mane ,I Get The Bag,335,13.0,7,0,931108,156184444
303,Masked Wolf ,Astronaut In The Ocean,290,58.0,4,0,1028047,155387513
304,Khalid ,Saturday Nights,391,0.0,13,0,965483,154969059
305,H.E.R. ,Best Part,635,0.0,53,0,483402,154582091
306,Rob $tone ,Chill Bill,442,4.0,10,0,686873,154052440
307,YNW Melly ,223's,325,45.0,4,0,1161395,152984591
308,Hozier ,Take Me To Church,644,147.0,1,(x58),669026,152777306
309,Ed Sheeran ,Beautiful People,309,39.0,3,(x1),1615072,152409919
310,Ariana Grande , break up with your girlfriend i'm bored ,235,49.0,1,(x4),3498779,152246486
311,Playboi Carti ,Magnolia,365,1.0,10,0,868222,151502606
312,Beach House ,Space Song,549,0.0,55,0,434347,151348745
313,JAY,Z  Ni**as In Paris,995,0.0,97,0,318805,151213181
314,Calvin Harris ,This Is What You Came For,288,106.0,2,(x1),975411,149620244
315,Ariana Grande ,34+35,291,63.0,1,(x5),2698854,148864140
316,Don Toliver ,After Party,400,0.0,11,0,768932,148828688
317,Lizzo ,About Damn Time,243,51.0,3,(x1),1276164,148776441
318,Calvin Harris ,Slide,281,15.0,8,0,967282,148615807
319,Juice WRLD ,Righteous,333,24.0,2,(x6),2690579,148152203
320,THE SCOTTS ,THE SCOTTS,237,70.0,1,(x13),3345119,147793519
321,The Kid LAROI ,WITHOUT YOU,338,33.0,6,0,769614,147434939
322,Young Thug ,pick up the phone,552,0.0,29,0,455209,146950542
323,Zach Bryan ,Something in the Orange,251,20.0,4,0,992100,146934063
324,Justin Timberlake , CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS),437,60.0,5,0,936011,146405505
325,Shawn Mendes ,Stitches,535,82.0,5,0,668552,146222899
326,Pop Smoke ,Dior,532,0.0,15,0,793436,145804298
327,Doja Cat ,Ain't Shit,356,39.0,4,0,1413486,145660715
328,Lil Tjay ,Calling My Phone,301,61.0,1,(x8),1860203,145633110
329,Charlie Puth ,Attention,346,0.0,16,0,797196,145299789
330,Lil Skies ,Nowadays,441,0.0,24,0,626292,144878462
331,Doja Cat ,You Right,386,13.0,4,0,1574035,144688259
332,Drake ,Portland,331,26.0,2,(x5),2385233,144664417
333,Bing Crosby ,White Christmas,280,17.0,1,(x1),2836396,144606354
334,Harry Styles ,Late Night Talking,219,29.0,2,(x10),3721821,144096811
335,Jay Rock ,King's Dead,292,31.0,7,0,1146306,144088666
336,Cardi B ,Up,247,76.0,2,(x4),1133283,143743718
337,Bad Bunny ,MIA,287,22.0,2,(x5),2409584,143656931
338,Hailee Steinfeld ,Let Me Go,357,0.0,17,0,728233,143350902
339,The Weeknd ,I Feel It Coming,331,21.0,5,0,1157486,143319177
340,Sia ,Cheap Thrills,371,9.0,9,0,822906,142986096
341,SZA ,Love Galore,426,0.0,23,0,645447,142655912
342,Lukas Graham ,7 Years,414,79.0,2,(x8),972767,142277410
343,Morgan Wallen ,You Proof,230,6.0,9,0,1723507,141716685
344,gnash , i hate u i love u ,385,0.0,16,0,563858,141690287
345,Rae Sremmurd ,Swang,393,0.0,21,0,680384,141632137
346,Nat King Cole ,The Christmas Song (Merry Christmas To You),232,12.0,5,0,3214273,141071360
347,Dean Lewis ,Be Alright,453,0.0,19,0,671232,141016791
348,Post Malone ,I Like You (A Happier Song),208,96.0,2,(x1),2000190,140872042
349,Lil Xan ,Betrayed,374,0.0,21,0,669421,140250610
350,Yot Club ,YKWIM?,504,0.0,58,0,351933,139804345
351,Kendrick Lamar ,LOYALTY. FEAT. RIHANNA.,330,14.0,4,0,2725761,139730182
352,Sam Smith ,Dancing With A Stranger,328,3.0,10,0,1143794,138760630
353,Doja Cat ,Get Into It (Yuh),391,0.0,16,0,751498,138640495
354,Migos ,MotorSport,311,11.0,6,0,1088075,138467640
355,Carolina Gaitán ,La Gaita  We Don't Talk About Bruno,201,104.0,1,(x55),1486869,138398595
356,Harry Styles ,Falling,501,3.0,4,0,1454982,138072456
357,DJ Khaled ,Wild Thoughts,231,71.0,1,(x1),1578440,138033504
358,Lil Uzi Vert ,You Was Right,501,0.0,26,0,490509,138001040
359,Kiiara ,Gold,403,0.0,18,0,582552,137920503
360,Kanye West ,Heartless,439,0.0,38,0,463393,137403023
361,Luke Combs ,Forever After All,403,7.0,2,(x5),2346240,137048398
362,Mark Ronson ,Uptown Funk,531,127.0,1,(x56),778194,136885294
363,Frank Sinatra ,Let It Snow! Let It Snow! Let It Snow!,305,8.0,8,0,2646892,136448853
364,Y2K,Lalala,321,0.0,11,0,820166,136394278
365,Ski Mask The Slump God ,Faucet Failure,415,0.0,25,0,671084,136293354
366,Jack Ü ,Where Are Ü Now,447,118.0,3,(x1),564731,135999812
367,Flo Rida ,My House,411,64.0,4,0,787490,135782448
368,Noah Cyrus ,July,509,0.0,56,0,438400,135753612
369,Lil Tjay ,F.N,442,0.0,23,0,703283,135359031
370,DJ Khaled ,POPSTAR,317,26.0,1,(x2),2013630,135192435
371,Saweetie ,Best Friend,299,1.0,10,0,732662,135156338
372,Bad Bunny ,Efecto,236,16.0,9,0,1315548,134743830
373,The Weeknd ,Save Your Tears,327,8.0,2,(x1),1723905,134482363
374,Ariana Grande ,Side To Side,332,75.0,5,0,875628,134449731
375,Bad Bunny ,Yonaguni,347,14.0,3,(x2),1727530,133665412
376,Liam Payne ,Strip That Down,311,0.0,11,0,770674,133182143
377,The Weeknd ,Earned It (Fifty Shades Of Grey),532,103.0,2,(x2),612611,132827332
378,Drake ,Fair Trade,301,33.0,2,(x2),5616734,132758753
379,Morgan Wallen ,Sand In My Boots,460,2.0,4,0,1020974,132664367
380,Trippie Redd ,Miss The Rage,349,8.0,3,(x6),1699784,132399703
